Labels,15 wt% in mCP,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19990.234000,
Step,9.7656250,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

4472.656300,8.40000000E+1,
4482.421900,8.60000000E+1,
4492.187500,7.80000000E+1,
4501.953100,9.60000000E+1,
4511.718800,6.40000000E+1,
4521.484400,8.10000000E+1,
4531.25000,8.10000000E+1,
4541.015600,5.90000000E+1,
4550.781300,8.40000000E+1,
4560.546900,9.50000000E+1,
4570.312500,8.60000000E+1,
4580.078100,7.60000000E+1,
4589.843800,8.80000000E+1,
4599.609400,7.00000000E+1,
4609.375000,8.10000000E+1,
4619.140600,6.70000000E+1,
4628.906300,1.03000000E+2,
4638.671900,6.90000000E+1,
4648.437500,7.30000000E+1,
4658.203100,8.40000000E+1,
4667.968800,7.20000000E+1,
4677.734400,8.40000000E+1,
4687.5000,8.70000000E+1,
4697.265600,7.30000000E+1,
4707.031300,8.10000000E+1,
4716.796900,6.60000000E+1,
4726.562500,6.80000000E+1,
4736.328100,6.70000000E+1,
4746.093800,9.10000000E+1,
4755.859400,8.30000000E+1,
4765.625000,7.40000000E+1,
4775.390600,7.70000000E+1,
4785.156300,6.90000000E+1,
4794.921900,7.40000000E+1,
4804.687500,8.80000000E+1,
4814.453100,6.70000000E+1,
4824.218800,9.00000000E+1,
4833.984400,7.50000000E+1,
4843.75000,7.20000000E+1,
4853.515600,7.60000000E+1,
4863.281300,8.40000000E+1,
4873.046900,7.90000000E+1,
4882.812500,8.80000000E+1,
4892.578100,7.10000000E+1,
4902.343800,7.50000000E+1,
4912.109400,7.60000000E+1,
4921.875000,6.80000000E+1,
4931.640600,7.50000000E+1,
4941.406300,7.80000000E+1,
4951.171900,7.20000000E+1,
4960.937500,5.40000000E+1,
4970.703100,9.10000000E+1,
4980.468800,7.20000000E+1,
4990.234400,7.20000000E+1,
5000.00,5.40000000E+1,
5009.765600,8.30000000E+1,
5019.531300,8.10000000E+1,
5029.296900,6.60000000E+1,
5039.062500,6.00000000E+1,
5048.828100,5.60000000E+1,
5058.593800,6.20000000E+1,
5068.359400,7.80000000E+1,
5078.125000,7.40000000E+1,
5087.890600,7.20000000E+1,
5097.656300,5.60000000E+1,
5107.421900,6.80000000E+1,
5117.187500,8.10000000E+1,
5126.953100,7.10000000E+1,
5136.718800,7.70000000E+1,
5146.484400,6.30000000E+1,
5156.25000,5.60000000E+1,
5166.015600,6.60000000E+1,
5175.781300,5.90000000E+1,
5185.546900,5.80000000E+1,
5195.312500,6.30000000E+1,
5205.078100,6.50000000E+1,
5214.843800,7.20000000E+1,
5224.609400,6.30000000E+1,
5234.375000,7.20000000E+1,
5244.140600,6.90000000E+1,
5253.906300,6.10000000E+1,
5263.671900,6.40000000E+1,
5273.437500,7.20000000E+1,
5283.203100,7.30000000E+1,
5292.968800,6.20000000E+1,
